OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,OrderStatus
SO1000,2023-08-25,CUST131,PROD29,1,161.26,161.26,Closed
SO1001,2023-09-30,CUST134,PROD23,2,120.79,241.58,Open
SO1002,2023-03-28,CUST116,PROD25,1,294.92,294.92,Open
SO1003,2023-08-06,CUST148,PROD20,5,161.43,807.1500000000001,Open
SO1004,2023-08-06,CUST127,PROD10,5,326.23,1631.15,Void
SO1005,2023-03-25,CUST111,PROD35,9,351.38,3162.42,Closed
SO1006,2023-12-11,CUST114,PROD30,1,133.49,133.49,Void
SO1007,2023-08-18,CUST113,PROD11,10,274.02,2740.2,Open
SO1008,2023-05-16,CUST171,PROD26,5,121.19,605.95,Void
SO1009,2023-07-17,CUST105,PROD27,4,469.44,1877.76,Closed
SO1010,2023-12-23,CUST141,PROD47,9,129.74,1167.66,Closed
SO1011,2023-04-29,CUST134,PROD46,6,210.74,1264.44,Closed
SO1012,2023-05-17,CUST166,PROD34,2,406.22,812.44,Closed
SO1013,2023-10-10,CUST120,PROD27,2,366.24,732.48,Closed
SO1014,2023-02-14,CUST199,PROD30,5,465.67,2328.35,Open
SO1015,2023-10-02,CUST105,PROD35,1,221.34,221.34,Void
SO1016,2023-05-14,CUST177,PROD44,5,122.63,613.15,Open
SO1017,2023-11-20,CUST147,PROD26,7,460.87,3226.09,Void
SO1018,2023-01-24,CUST145,PROD20,8,129.92,1039.36,Void
SO1019,2023-04-26,CUST164,PROD28,9,445.65,4010.85,Closed
SO1020,2023-07-23,CUST131,PROD37,10,387.92,3879.2000000000003,Closed
SO1021,2023-05-02,CUST134,PROD22,4,476.86,1907.44,Closed
SO1022,2023-01-15,CUST199,PROD11,9,179.29,1613.61,Void
SO1023,2023-03-27,CUST135,PROD42,8,249.9,1999.2,Closed
SO1024,2023-07-03,CUST131,PROD30,8,263.78,2110.24,Void
SO1025,2023-09-12,CUST172,PROD41,3,300.07,900.21,Closed
SO1026,2023-11-01,CUST120,PROD25,9,454.45,4090.0499999999997,Void
SO1027,2023-06-19,CUST168,PROD20,5,143.93,719.6500000000001,Open
SO1028,2023-06-23,CUST155,PROD30,3,181.73,545.1899999999999,Closed
SO1029,2023-04-02,CUST197,PROD16,10,307.89,3078.8999999999996,Void
SO1030,2023-10-23,CUST130,PROD23,4,107.42,429.68,Closed
SO1031,2023-02-21,CUST198,PROD15,5,434.64,2173.2,Open
SO1032,2023-09-30,CUST109,PROD27,2,261.65,523.3,Closed
SO1033,2023-10-16,CUST160,PROD48,8,247.6,1980.8,Void
SO1034,2023-03-20,CUST122,PROD29,7,373.19,2612.33,Void
SO1035,2023-01-02,CUST163,PROD45,5,268.88,1344.4,Void
SO1036,2023-03-06,CUST193,PROD11,4,322.66,1290.64,Open
SO1037,2023-10-06,CUST155,PROD30,2,355.17,710.34,Closed
SO1038,2023-07-16,CUST146,PROD33,9,473.05,4257.45,Void
SO1039,2023-09-24,CUST164,PROD23,2,488.54,977.08,Open
SO1040,2023-09-18,CUST154,PROD24,7,460.96,3226.72,Open
SO1041,2023-02-06,CUST123,PROD25,3,151.73,455.18999999999994,Closed
SO1042,2023-05-13,CUST127,PROD16,1,286.26,286.26,Open
SO1043,2023-12-30,CUST178,PROD23,4,349.79,1399.16,Open
SO1044,2023-09-14,CUST194,PROD31,3,404.05,1212.15,Closed
SO1045,2023-07-27,CUST146,PROD30,5,426.84,2134.2,Open
SO1046,2023-10-23,CUST162,PROD25,6,159.8,958.8000000000001,Closed
SO1047,2023-05-26,CUST102,PROD28,4,260.26,1041.04,Closed
SO1048,2023-02-25,CUST167,PROD36,2,137.48,274.96,Open
SO1049,2023-08-01,CUST148,PROD24,3,218.4,655.2,Void
SO1050,2023-04-28,CUST133,PROD45,1,202.23,202.23,Open
SO1051,2023-04-17,CUST163,PROD41,2,347.58,695.16,Open
SO1052,2023-09-17,CUST162,PROD23,8,348.28,2786.24,Open
SO1053,2023-01-19,CUST154,PROD48,4,340.29,1361.16,Void
SO1054,2023-08-30,CUST118,PROD50,1,457.0,457.0,Closed
SO1055,2023-10-11,CUST157,PROD45,5,265.67,1328.3500000000001,Open
SO1056,2023-05-28,CUST133,PROD22,6,165.53,993.1800000000001,Closed
SO1057,2023-12-09,CUST164,PROD14,4,331.59,1326.36,Void
SO1058,2023-12-23,CUST140,PROD23,5,478.95,2394.75,Closed
SO1059,2023-03-02,CUST108,PROD22,8,313.8,2510.4,Closed
SO1060,2023-09-05,CUST130,PROD38,7,216.92,1518.4399999999998,Void
SO1061,2023-11-24,CUST150,PROD20,4,176.04,704.16,Open
SO1062,2023-02-13,CUST184,PROD20,8,377.88,3023.04,Open
SO1063,2023-09-02,CUST176,PROD48,5,379.21,1896.05,Closed
SO1064,2023-02-17,CUST187,PROD16,10,359.39,3593.8999999999996,Open
SO1065,2023-07-05,CUST154,PROD33,7,487.6,3413.2000000000003,Void
SO1066,2023-04-29,CUST183,PROD10,8,104.34,834.72,Closed
SO1067,2023-05-05,CUST145,PROD39,9,274.4,2469.6,Void
SO1068,2023-05-11,CUST140,PROD19,6,227.28,1363.68,Closed
SO1069,2023-11-03,CUST160,PROD45,2,316.23,632.46,Open
SO1070,2023-11-23,CUST191,PROD44,9,308.51,2776.59,Void
SO1071,2023-12-08,CUST112,PROD46,5,291.78,1458.8999999999999,Void
SO1072,2023-12-13,CUST176,PROD31,1,317.22,317.22,Open
SO1073,2023-01-27,CUST181,PROD48,2,213.3,426.6,Void
SO1074,2023-04-14,CUST144,PROD33,1,363.07,363.07,Void
SO1075,2023-01-17,CUST100,PROD49,10,441.42,4414.2,Void
SO1076,2023-06-14,CUST165,PROD30,1,353.0,353.0,Closed
SO1077,2023-12-08,CUST114,PROD29,4,385.78,1543.12,Void
SO1078,2023-07-06,CUST169,PROD42,10,396.86,3968.6000000000004,Open
SO1079,2023-11-19,CUST152,PROD47,8,185.12,1480.96,Open
SO1080,2023-08-14,CUST111,PROD47,2,486.15,972.3,Closed
SO1081,2023-04-19,CUST145,PROD15,4,269.09,1076.36,Open
SO1082,2023-05-07,CUST117,PROD47,1,375.87,375.87,Void
SO1083,2023-11-20,CUST119,PROD16,8,310.67,2485.36,Closed
SO1084,2023-11-05,CUST170,PROD25,7,279.66,1957.6200000000001,Void
SO1085,2023-01-08,CUST174,PROD45,5,479.85,2399.25,Open
SO1086,2023-02-15,CUST162,PROD11,1,276.0,276.0,Void
SO1087,2023-07-13,CUST102,PROD14,8,462.97,3703.76,Open
SO1088,2023-09-15,CUST195,PROD18,1,424.32,424.32,Void
SO1089,2023-01-29,CUST117,PROD16,4,335.6,1342.4,Closed
SO1090,2023-10-17,CUST196,PROD14,6,201.46,1208.76,Open
SO1091,2023-07-25,CUST182,PROD44,5,385.93,1929.65,Void
SO1092,2023-11-18,CUST135,PROD28,8,390.82,3126.56,Closed
SO1093,2023-09-23,CUST193,PROD23,8,434.52,3476.16,Void
SO1094,2023-11-16,CUST175,PROD41,7,256.26,1793.82,Open
SO1095,2023-10-14,CUST164,PROD22,5,366.32,1831.6,Void
SO1096,2023-10-03,CUST175,PROD29,3,483.67,1451.01,Void
SO1097,2023-07-20,CUST108,PROD36,1,414.88,414.88,Open
SO1098,2023-06-08,CUST178,PROD12,9,249.12,2242.08,Open
SO1099,2023-03-26,CUST121,PROD49,5,406.03,2030.1499999999999,Void
